,field_name,form_name,field_type,field_label,parent,branching_logic
0,subjid,presentation,freetext,Participant Identification Number (PIN),,
1,inclu,presentation,section,INCLUSION CRITERIA,,
2,inclu_disease,presentation,categorical,Suspected or confirmed infection,inclu,
3,inclu_disease___Chickenpox (Varicella),presentation,binary,Chickenpox (Varicella),inclu_disease,
4,inclu_disease___Herpes simplex virus infection (HSV),presentation,binary,Herpes simplex virus infection (HSV),inclu_disease,
5,inclu_disease___Human immunodeficiency virus infection (HIV infection),presentation,binary,Human immunodeficiency virus infection (HIV infection),inclu_disease,
6,inclu_disease___Mpox,presentation,binary,Mpox,inclu_disease,
7,inclu_disease___Other,presentation,binary,Other,inclu_disease,
8,inclu_disease_otherl3,presentation,freetext,Specify other Suspected or confirmed infection,inclu,[inclu_disease]='88'
9,inclu_case,presentation,categorical,Status of case,inclu,
10,inclu_case___Confirmed,presentation,binary,Confirmed,inclu_case,
11,inclu_case___Probable,presentation,binary,Probable,inclu_case,
12,inclu_case___Suspected,presentation,binary,Suspected,inclu_case,
13,inclu_case___Discarded,presentation,binary,Discarded,inclu_case,
14,inclu_case___Error,presentation,binary,Error,inclu_case,
15,inclu_testreason,presentation,categorical,Reason why the patient was tested,inclu,
16,inclu_testreason___Symptomatic,presentation,binary,Symptomatic,inclu_testreason,
17,"inclu_testreason___Asymptomatic, contact-traced",presentation,binary,"Asymptomatic, contact-traced",inclu_testreason,
18,"inclu_testreason___Asymptomatic, mass testing campaign",presentation,binary,"Asymptomatic, mass testing campaign",inclu_testreason,
19,inclu_testreason___Not tested,presentation,binary,Not tested,inclu_testreason,
20,inclu_testreason___Other,presentation,binary,Other,inclu_testreason,
21,inclu_testreason_otth,presentation,freetext,Specify other reason,inclu,[inclu_testreason]='88'
22,inclu_consentdes,presentation,freetext,Consent:,inclu,
23,inclu_consent,presentation,categorical,Participant (or their representative) has provided consent to participate in this study.,inclu,
24,inclu_consent___Yes,presentation,binary,Yes,inclu_consent,
25,"inclu_consent___No, participant did not agree to participate in the study",presentation,binary,"No, participant did not agree to participate in the study",inclu_consent,
26,"inclu_consent___No, the ethics committee approved a waiver of consent",presentation,binary,"No, the ethics committee approved a waiver of consent",inclu_consent,
27,inclu_consent_date,presentation,date,Date of consent,inclu,[inclu_consent]='1'
28,inclu_consent_who,presentation,categorical,Consent provided by,inclu,[inclu_consent]='1'
29,inclu_consent_who___Participant,presentation,binary,Participant,inclu_consent_who,[inclu_consent]='1'
30,inclu_consent_who___Consultee,presentation,binary,Consultee,inclu_consent_who,[inclu_consent]='1'
31,inclu_consent_who___Independent clinician,presentation,binary,Independent clinician,inclu_consent_who,[inclu_consent]='1'
32,inclu_consent2des,presentation,freetext,"Secondary use of data collected, the participant agreed with the following statements:",inclu,[inclu_consent]='1'
33,inclu_consent_secrsch,presentation,binary,"Future use of pseudonymised data in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
